,Country,Answer,Example 1,Example 2,Example 3
0,SWE,krakow,novgorod,philippines,lubeck
1,DAN,rheinland,saxony,baltic_sea,north_sea
2,NOR,rheinland,saxony,baltic_sea,north_sea
3,HUN,ragusa,crimea,philippines,lubeck
4,TUR,alexandria,aleppo,crimea,philippines
5,ENG,north_sea,ivory_coast,chesapeake_bay,lubeck
6,SCO,white_sea,st_lawrence,philippines,lubeck
7,LIT,crimea,philippines,lubeck,girin
8,LIV,krakow,novgorod,philippines,lubeck
9,POL,kiev,pest,philippines,lubeck
10,TEU,krakow,novgorod,philippines,lubeck
11,BRI,ivory_coast,carribean_trade,st_lawrence,philippines
12,BUR,rheinland,bordeaux,philippines,lubeck
13,FRA,rheinland,bordeaux,philippines,lubeck
14,PRO,ivory_coast,carribean_trade,st_lawrence,philippines
15,BOH,wien,krakow,philippines,lubeck
16,BRA,wien,krakow,philippines,lubeck
17,HAB,krakow,pest,philippines,lubeck
18,SWI,rheinland,bordeaux,philippines,lubeck
19,ARA,tunis,sevilla,philippines,lubeck
20,CAS,tunis,ivory_coast,safi,carribean_trade
21,POR,tunis,ivory_coast,safi,carribean_trade
22,GEN,champagne,alexandria,tunis,ragusa
23,MLO,champagne,alexandria,tunis,ragusa
24,NAP,champagne,alexandria,tunis,ragusa
25,PAP,alexandria,tunis,ragusa,champagne
26,SAV,rheinland,bordeaux,philippines,lubeck
27,VEN,wien,alexandria,ragusa,philippines
28,LAN,alexandria,tunis,ragusa,champagne
29,BRB,north_sea,ivory_coast,chesapeake_bay,lubeck
30,CRI,astrakhan,philippines,lubeck,girin
31,KAZ,astrakhan,siberia,philippines,lubeck
32,MOS,kiev,kazan,philippines,lubeck
33,NOV,kiev,kazan,philippines,lubeck
34,NOG,samarkand,persia,philippines,lubeck
35,GOL,samarkand,persia,philippines,lubeck
36,AKK,persia,basra,philippines,lubeck
37,MAM,ethiopia,gulf_of_aden,aleppo,philippines
38,MOR,timbuktu,philippines,lubeck,girin
39,TUN,katsina,philippines,lubeck,girin
40,TLC,timbuktu,philippines,lubeck,girin
41,SHY,girin,philippines,lubeck,lahore
42,QAR,lahore,basra,samarkand,philippines
43,TIM,lahore,basra,samarkand,philippines
44,TRS,lahore,siberia,yumen,philippines
45,FRS,gujarat,gulf_of_aden,philippines,lubeck
46,QOM,lahore,basra,samarkand,philippines
47,AZT,rio_grande,california,philippines,lubeck
48,ETH,katsina,philippines,lubeck,girin
49,KON,african_great_lakes,philippines,lubeck,girin
50,MAL,katsina,philippines,lubeck,girin
51,SON,katsina,philippines,lubeck,girin
52,ADA,gujarat,comorin_cape,ethiopia,philippines
53,AYU,burma,philippines,lubeck,girin
54,BEI,hangzhou,gulf_of_siam,canton,the_moluccas
55,CHG,xian,beijing,philippines,lubeck
56,DAI,chengdu,gulf_of_siam,philippines,lubeck
57,KHA,xian,beijing,philippines,lubeck
58,KHM,burma,philippines,lubeck,girin
59,KOR,girin,polynesia_node,philippines,lubeck
60,LNA,burma,philippines,lubeck,girin
61,LXA,burma,philippines,lubeck,girin
62,MAJ,philippines,australia,lubeck,girin
63,MLC,hangzhou,gulf_of_siam,canton,the_moluccas
64,MNG,xian,girin,hangzhou,philippines
65,OIR,xian,beijing,philippines,lubeck
66,MJZ,california,philippines,lubeck,lahore
67,KRC,california,philippines,lubeck,lahore
68,KAS,lahore,siberia,yumen,philippines
69,BNG,lhasa,burma,malacca,philippines
70,BAH,doab,philippines,lubeck,girin
71,DLH,ganges_delta,philippines,lubeck,girin
72,VIJ,deccan,ganges_delta,philippines,lubeck
73,GUJ,deccan,lahore,comorin_cape,philippines
74,JNP,ganges_delta,philippines,lubeck,girin
75,MLW,doab,philippines,lubeck,girin
76,MER,deccan,lahore,comorin_cape,philippines
77,ORI,burma,lhasa,malacca,philippines
78,SRH,doab,lhasa,philippines,lubeck
79,AVA,chengdu,philippines,lubeck,girin
80,SUN,philippines,australia,lubeck,girin
